concat("https://git.educoder.net/", m.repo_name, ".git")	shixun_id	name
https://git.educoder.net/m37261805/pxlsuotc.git	93	C++之do-while循环性质
https://git.educoder.net/p59437086/fp6cmstz.git	57	C++之if-else基本应用
https://git.educoder.net/p24569017/748fkcya.git	53	C++之整数基本应用（I）
https://git.educoder.net/m34870965/stewl573.git	96	C++之函数应用
https://git.educoder.net/p93546712/nuj9lbwv.git	97	C++之递归函数应用（I）
https://git.educoder.net/p41032987/tjxnyuv6.git	56	C++之if-else基本性质
https://git.educoder.net/p03596874/g8w3nj6r.git	92	C++之while循环性质
https://git.educoder.net/p57306492/o7pr4f6v.git	54	C++之整数基本应用（II）
https://git.educoder.net/p24569017/o7pr4f6v.git	54	C++之整数基本应用（II）
https://git.educoder.net/p03596874/fp6cmstz.git	57	C++之if-else基本应用
https://git.educoder.net/p41032987/stewl573.git	96	C++之函数应用
https://git.educoder.net/m85071362/fp6cmstz.git	57	C++之if-else基本应用
https://git.educoder.net/p41032987/nuj9lbwv.git	97	C++之递归函数应用（I）
https://git.educoder.net/p03821795/zlg2nmcf.git	70	数据结构与算法-线性表
https://git.educoder.net/p97614053/g8w3nj6r.git	92	C++之while循环性质
https://git.educoder.net/m98746013/qmeb65oa.git	51	C++之整数性质判断
https://git.educoder.net/p57306492/g8w3nj6r.git	92	C++之while循环性质
https://git.educoder.net/p82716403/w3vcokrg.git	206	数据结构与算法-排序
https://git.educoder.net/p49067812/uywljq4v.git	192	数据结构与算法-字符串匹配
https://git.educoder.net/m34870965/nuj9lbwv.git	97	C++之递归函数应用（I）
https://git.educoder.net/p85321904/85fat9w3.git	100	C&C++结构实训
https://git.educoder.net/p15769384/g8w3nj6r.git	92	C++之while循环性质
https://git.educoder.net/m29067354/g8w3nj6r.git	92	C++之while循环性质
https://git.educoder.net/p63720845/fp6cmstz.git	57	C++之if-else基本应用
https://git.educoder.net/m98746013/748fkcya.git	53	C++之整数基本应用（I）
https://git.educoder.net/p64295387/85fat9w3.git	100	C&C++结构实训
https://git.educoder.net/p74280591/85fat9w3.git	100	C&C++结构实训
https://git.educoder.net/m98746013/o7pr4f6v.git	54	C++之整数基本应用（II）
